Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.us.subscriptiontopic-sandbox.json	4531	-	0	0	0	0	0	0	5	107	0	0	0	0	0	0	0	0	0	0	122	93	0	0	0	3	0	1
input/resources/SubscriptionTopic-us-core-encounter.json	1189	40	1	0	0	0	0	0	0	64	0	0	1	0	0	0	0	0	0	0	34	61	0	0	0	1	0	0
input/resources/SubscriptionTopic-us-core-immunization.json	1216	27	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	37	48	0	0	0	1	0	0
